ano,sigla_uf,id_municipio,municipio,rede,ensino,anos_escolares,taxa_aprovacao,indicador_rendimento,nota_saeb_matematica,nota_saeb_lingua_portuguesa,nota_saeb_media_padronizada,ideb,projecao,posicao_estadual
2023,SE,2801009,Campo do Brito,municipal,fundamental,finais (6-9),68.9,0.710769,239.79,245.69,4.758,3.4,,45
2023,SE,2802809,Indiaroba,municipal,fundamental,finais (6-9),81.4,0.817045,228.88,223.04,4.198667,3.4,,45
2023,SE,2806008,Ribeirópolis,municipal,fundamental,finais (6-9),76.2,0.761829,233.05,233.4,4.440833,3.4,,45
2023,SE,2800605,Barra dos Coqueiros,municipal,fundamental,finais (6-9),79.0,0.786947,230.97,231.46,4.373833,3.4,,45
2023,SE,2803708,Macambira,municipal,fundamental,finais (6-9),73.1,0.725411,235.07,238.37,4.557333,3.3,,53
2023,SE,2803104,Itabi,municipal,fundamental,finais (6-9),81.3,0.820032,225.84,218.09,4.0655,3.3,,53
2023,SE,2800209,Aquidabã,municipal,fundamental,finais (6-9),74.0,0.739363,234.03,233.2,4.453833,3.3,,53
2023,SE,2804300,Muribeca,municipal,fundamental,finais (6-9),82.7,0.825971,218.29,223.96,4.0375,3.3,,53
2023,SE,2804003,Maruim,municipal,fundamental,finais (6-9),75.6,0.760844,227.32,224.16,4.191333,3.2,,57
2023,SE,2805901,Riachuelo,municipal,fundamental,finais (6-9),73.8,0.740738,226.76,230.98,4.295667,3.2,,57
2023,SE,2800506,Areia Branca,municipal,fundamental,finais (6-9),74.1,0.73746,226.75,233.3,4.334167,3.2,,57
2023,SE,2803203,Itaporanga d'Ajuda,municipal,fundamental,finais (6-9),70.5,0.717845,232.49,234.25,4.445667,3.2,,57
2023,SE,2807204,Siriri,municipal,fundamental,finais (6-9),67.6,0.681882,234.13,230.45,4.409667,3.0,,61
2023,SE,2807303,Telha,municipal,fundamental,finais (6-9),69.6,0.697263,229.17,231.82,4.349833,3.0,,61
2023,SE,2802304,Frei Paulo,municipal,fundamental,finais (6-9),61.4,0.614926,235.73,254.39,4.835333,3.0,,61
2023,SE,2802205,Feira Nova,municipal,fundamental,finais (6-9),71.2,0.70681,219.76,222.51,4.037833,2.9,,64
2023,SE,2801900,Cumbe,municipal,fundamental,finais (6-9),65.7,0.627954,232.8,238.58,4.523,2.8,,65
2023,SE,2803609,Laranjeiras,municipal,fundamental,finais (6-9),63.3,0.633611,215.7,212.61,3.805167,2.4,,66
2023,SE,2806701,São Cristóvão,municipal,fundamental,iniciais (1-5),99.9,0.999199,236.28,217.49,6.427577,6.4,,1
2023,SE,2803005,Itabaianinha,municipal,fundamental,iniciais (1-5),99.1,0.991078,223.34,212.21,6.08463,6.0,,2
2023,SE,2806909,São Francisco,municipal,fundamental,iniciais (1-5),95.0,0.954112,210.52,196.42,5.552883,5.3,,3
2023,SE,2807402,Tobias Barreto,municipal,fundamental,iniciais (1-5),95.5,0.95421,208.36,198.86,5.556025,5.3,,3
2023,SE,2801603,Cedro de São João,municipal,fundamental,iniciais (1-5),99.6,0.996141,202.63,185.71,5.207583,5.2,,5
2023,SE,2803302,Japaratuba,municipal,fundamental,iniciais (1-5),94.7,0.948921,205.91,196.14,5.459815,5.2,,5
