ano,sigla_uf,id_municipio,municipio,rede,ensino,anos_escolares,taxa_aprovacao,indicador_rendimento,nota_saeb_matematica,nota_saeb_lingua_portuguesa,nota_saeb_media_padronizada,ideb,projecao,posicao_estadual,etapa,ranking_seq
2025,SE,2802601,Graccho Cardoso,municipal,fundamental,finais (6-9),96.3,0.965019,220.74,223.89,4.077167,3.9,,42,Anos finais,44
2025,SE,2803302,Japaratuba,municipal,fundamental,finais (6-9),86.2,0.8636,235.55,236.3,4.530833,3.9,,42,Anos finais,45
2025,SE,2804201,Monte Alegre de Sergipe,municipal,fundamental,finais (6-9),97.7,0.9653,219.17,225.31,4.074667,3.9,,42,Anos finais,46
2025,SE,2805802,Riachão do Dantas,municipal,fundamental,finais (6-9),89.4,0.895738,233.16,230.69,4.3975,3.9,,42,Anos finais,47
2025,SE,2800100,Amparo do São Francisco,municipal,fundamental,finais (6-9),76.4,0.743569,263.39,246.81,5.17,3.8,,48,Anos finais,48
2025,SE,2800670,Boquim,municipal,fundamental,finais (6-9),86.3,0.865032,235.89,229.75,4.427333,3.8,,48,Anos finais,49
2025,SE,2802007,Divina Pastora,municipal,fundamental,finais (6-9),94.3,0.939942,225.6,214.89,4.008167,3.8,,48,Anos finais,50
2025,SE,2804409,Neópolis,municipal,fundamental,finais (6-9),93.9,0.939524,220.17,224.23,4.073333,3.8,,48,Anos finais,51
2025,SE,2806602,Santo Amaro das Brotas,municipal,fundamental,finais (6-9),88.6,0.893359,228.61,228.41,4.283667,3.8,,48,Anos finais,52
2025,SE,2802304,Frei Paulo,municipal,fundamental,finais (6-9),81.6,0.822829,232.05,238.15,4.503333,3.7,,53,Anos finais,53
2025,SE,2804458,Nossa Senhora Aparecida,municipal,fundamental,finais (6-9),85.4,0.85905,220.08,235.84,4.265333,3.7,,53,Anos finais,54
2025,SE,2805208,Pinhão,municipal,fundamental,finais (6-9),87.7,0.88003,229.15,223.43,4.209667,3.7,,53,Anos finais,55
2025,SE,2806305,Santa Luzia do Itanhy,municipal,fundamental,finais (6-9),86.7,0.866165,227.62,228.28,4.265,3.7,,53,Anos finais,56
2025,SE,2801900,Cumbe,municipal,fundamental,finais (6-9),75.0,0.751875,246.92,240.12,4.784,3.6,,57,Anos finais,57
2025,SE,2804706,Nossa Senhora de Lourdes,municipal,fundamental,finais (6-9),86.4,0.860867,223.7,228.74,4.207333,3.6,,57,Anos finais,58
2025,SE,2800506,Areia Branca,municipal,fundamental,finais (6-9),78.1,0.779966,234.86,238.21,4.551167,3.5,,59,Anos finais,59
2025,SE,2803708,Macambira,municipal,fundamental,finais (6-9),84.3,0.84452,228.55,220.42,4.1495,3.5,,59,Anos finais,60
2025,SE,2803906,Malhador,municipal,fundamental,finais (6-9),73.9,0.74562,243.78,239.49,4.721167,3.5,,59,Anos finais,61
2025,SE,2804003,Maruim,municipal,fundamental,finais (6-9),80.7,0.809029,226.07,231.08,4.285833,3.5,,59,Anos finais,62
2025,SE,2804607,Nossa Senhora das Dores,municipal,fundamental,finais (6-9),83.5,0.832147,225.87,223.28,4.1525,3.5,,59,Anos finais,63
2025,SE,2805406,Poço Redondo,municipal,fundamental,finais (6-9),79.0,0.790046,227.43,241.56,4.483167,3.5,,59,Anos finais,64
2025,SE,2805505,Poço Verde,municipal,fundamental,finais (6-9),87.0,0.863362,214.38,227.94,4.038667,3.5,,59,Anos finais,65
2025,SE,2805901,Riachuelo,municipal,fundamental,finais (6-9),81.6,0.81152,232.47,228.66,4.352167,3.5,,59,Anos finais,66
2025,SE,2806008,Ribeirópolis,municipal,fundamental,finais (6-9),76.2,0.776428,226.2,241.44,4.460667,3.5,,59,Anos finais,67
2025,SE,2800209,Aquidabã,municipal,fundamental,finais (6-9),85.6,0.865159,219.69,219.16,3.980833,3.4,,68,Anos finais,68
2025,SE,2802205,Feira Nova,municipal,fundamental,finais (6-9),88.4,0.897512,221.18,206.51,3.794833,3.4,,68,Anos finais,69
2025,SE,2805604,Porto da Folha,municipal,fundamental,finais (6-9),85.0,0.850997,217.19,220.78,3.966167,3.4,,68,Anos finais,70
2025,SE,2803609,Laranjeiras,municipal,fundamental,finais (6-9),76.5,0.782265,215.83,215.99,3.863667,3.0,,71,Anos finais,71
2025,SE,2801108,Canhoba,municipal,fundamental,iniciais (1-5),95.6,0.954561,265.75,246.3,7.513799,7.2,,1,Anos iniciais,1
2025,SE,2806701,São Cristóvão,municipal,fundamental,iniciais (1-5),100.0,1.0,251.99,234.44,7.035568,7.0,,2,Anos iniciais,2
2025,SE,2803005,Itabaianinha,municipal,fundamental,iniciais (1-5),99.6,0.995982,229.39,212.22,6.20027,6.2,,3,Anos iniciais,3
2025,SE,2800308,Aracaju,municipal,fundamental,iniciais (1-5),98.3,0.983928,216.7,206.71,5.857913,5.8,,4,Anos iniciais,4
2025,SE,2807501,Tomar do Geru,municipal,fundamental,iniciais (1-5),96.5,0.963256,222.8,203.96,5.924325,5.7,,5,Anos iniciais,5
2025,SE,2801603,Cedro de São João,municipal,fundamental,iniciais (1-5),99.0,0.991697,219.04,195.07,5.690933,5.6,,6,Anos iniciais,6
2025,SE,2802601,Graccho Cardoso,municipal,fundamental,iniciais (1-5),98.2,0.98569,210.53,203.27,5.677619,5.6,,6,Anos iniciais,7
2025,SE,2803807,Malhada dos Bois,municipal,fundamental,iniciais (1-5),100.0,1.0,213.0,195.6,5.585302,5.6,,6,Anos iniciais,8
2025,SE,2804102,Moita Bonita,municipal,fundamental,iniciais (1-5),99.3,0.993311,213.96,195.79,5.607077,5.6,,6,Anos iniciais,9
2025,SE,2807402,Tobias Barreto,municipal,fundamental,iniciais (1-5),98.1,0.980423,212.07,201.33,5.671736,5.6,,6,Anos iniciais,10
2025,SE,2800407,Arauá,municipal,fundamental,iniciais (1-5),97.4,0.974895,209.39,203.54,5.660772,5.5,,11,Anos iniciais,11
2025,SE,2801405,Carira,municipal,fundamental,iniciais (1-5),96.5,0.965624,211.28,202.01,5.669023,5.5,,11,Anos iniciais,12
2025,SE,2804508,Nossa Senhora da Glória,municipal,fundamental,iniciais (1-5),97.4,0.972183,212.37,200.11,5.655279,5.5,,11,Anos iniciais,13
2025,SE,2805208,Pinhão,municipal,fundamental,iniciais (1-5),98.7,0.987591,208.51,201.25,5.602342,5.5,,11,Anos iniciais,14
2025,SE,2806800,São Domingos,municipal,fundamental,iniciais (1-5),95.3,0.951082,214.73,204.37,5.777772,5.5,,11,Anos iniciais,15
2025,SE,2800605,Barra dos Coqueiros,municipal,fundamental,iniciais (1-5),96.0,0.960197,213.01,199.48,5.656038,5.4,,16,Anos iniciais,16
2025,SE,2801009,Campo do Brito,municipal,fundamental,iniciais (1-5),95.9,0.957243,210.17,202.86,5.663294,5.4,,16,Anos iniciais,17
2025,SE,2805000,Pedra Mole,municipal,fundamental,iniciais (1-5),98.0,0.977321,207.94,196.19,5.499464,5.4,,16,Anos iniciais,18
2025,SE,2806107,Rosário do Catete,municipal,fundamental,iniciais (1-5),98.2,0.983556,208.41,193.57,5.460797,5.4,,16,Anos iniciais,19
2025,SE,2807303,Telha,municipal,fundamental,iniciais (1-5),100.0,1.0,207.88,193.27,5.445228,5.4,,16,Anos iniciais,20
2025,SE,2800100,Amparo do São Francisco,municipal,fundamental,iniciais (1-5),93.4,0.933968,217.36,198.05,5.713053,5.3,,21,Anos iniciais,21
2025,SE,2803302,Japaratuba,municipal,fundamental,iniciais (1-5),95.7,0.956588,206.83,199.87,5.54519,5.3,,21,Anos iniciais,22
2025,SE,2804805,Nossa Senhora do Socorro,municipal,fundamental,iniciais (1-5),99.0,0.989533,203.45,194.2,5.377595,5.3,,21,Anos iniciais,23
2025,SE,2805505,Poço Verde,municipal,fundamental,iniciais (1-5),95.6,0.953235,205.66,201.03,5.543953,5.3,,21,Anos iniciais,24
2025,SE,2805802,Riachão do Dantas,municipal,fundamental,iniciais (1-5),98.0,0.98067,206.07,192.41,5.39505,5.3,,21,Anos iniciais,25
2025,SE,2807204,Siriri,municipal,fundamental,iniciais (1-5),97.4,0.974135,201.03,201.22,5.459049,5.3,,21,Anos iniciais,26
2025,SE,2806909,São Francisco,municipal,fundamental,iniciais (1-5),97.0,0.968468,209.66,193.8,5.488834,5.3,,21,Anos iniciais,27
