anos_escolares,etapa,ideb_2023,ideb_2025,variacao_absoluta,variacao_percentual,posicao_estadual_2025,posicao_dre4_2025
finais (6-9),Anos finais,3.7,4.1,0.3999999999999994,10.810810810810796,36,4
iniciais (1-5),Anos iniciais,4.6,5.4,0.8000000000000007,17.391304347826104,19,1
