id_municipio,municipio,anos_escolares,taxa_aprovacao_2023,indicador_rendimento_2023,nota_saeb_matematica_2023,nota_saeb_lingua_portuguesa_2023,nota_saeb_media_padronizada_2023,ideb_2023,projecao_2023,taxa_aprovacao_2025,indicador_rendimento_2025,nota_saeb_matematica_2025,nota_saeb_lingua_portuguesa_2025,nota_saeb_media_padronizada_2025,ideb_2025,projecao_2025,variacao_absoluta,variacao_percentual,variacao_rendimento,variacao_desempenho,posicao_estadual_2023,posicao_dre4_2023,posicao_estadual_2025,posicao_dre4_2025,mudanca_posicao_estadual,mudanca_posicao_dre4,etapa,ranking_estadual_seq_2023,ranking_dre4_seq_2023,ranking_estadual_seq_2025,ranking_dre4_seq_2025,mudanca_ranking_estadual_seq,mudanca_ranking_dre4_seq
2806107,Rosário do Catete,finais (6-9),83.9,0.848181,225.91,236.34,4.370833,3.7,,92.8,0.934312,230.51,234.28,4.413167,4.1,,0.3999999999999994,10.810810810810796,0.086131,0.0423339999999994,26,5,31,2,-5,3,Anos finais,28,5,36,4,-8,1
2806107,Rosário do Catete,iniciais (1-5),91.9,0.912729,194.11,185.45,5.04026,4.6,,98.2,0.983556,208.41,193.57,5.460797,5.4,,0.8000000000000007,17.391304347826104,0.0708269999999999,0.4205370000000004,25,4,16,1,9,3,Anos iniciais,30,5,19,1,11,4
